image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1709146.jpeg,26.8.87,0.465689603,Harboør,0.656104880
1708026.jpeg,12/10.1908,0.519754471,Kjeldskov,0.693831464
1709441.jpeg,24.9. 1922,0.433607154,Holte,0.921676266
1705800.jpeg,4.6.19,0.672740224,Thorsager,0.800772962
1706034.jpeg,20.VII.2021,0.649866626,"DENMARK: NWJ, Hjelm Hede (west), 56.48N, 8.89E, 16 m",0.240221279
1706235.jpeg,30.5 1964,0.181106396,V.Sjælland Røsnæs Kongstrup Kl,0.250321309
1742741.jpeg,MISSING,0.759481661,Dyrehaven,0.357559867
1708745.jpeg,10/1872,0.120209154,Veile,0.622240073
1728531.jpeg,24-9-60.,0.389642316,Eremitagen,0.675116702
1709116.jpeg,14-9-58.,0.468363140,Dyrehaven,0.738093362
1709109.jpeg,6-9-49.,0.238438921,Sønderskov. Høvelte,0.272303728
1706458.jpeg,14/6.1871.,0.284483177,Jydske As,0.090503183
1705766.jpeg,23-5-1915,0.161203395,Skagen,0.909199758
1743555.jpeg,MISSING,0.738390421,MISSING,0.467769021
1709580.jpeg,MISSING,0.785622916,MISSING,0.485295544
1706114.jpeg,MISSING,0.954649894,MISSING,0.186453471
1707924.jpeg,5.7.1905,0.055450136,Øreborg,0.044458927
1709072.jpeg,8/9.1895 | 20/8,0.022773568,Dyrehaven,0.739281600
1707486.jpeg,25-5-1914 | 1829,0.025150045,Vamdrup,0.861967263
1707889.jpeg,30.3.1975.,0.531933919,Harrild hede,0.600851773
1709874.jpeg,12/7.1870,0.416080630,Ørholm,0.900287966
1707582.jpeg,16-VII-1978,0.064361928,GL.-Rye JØ,0.406871779
1707714.jpeg,MISSING,0.874740831,MISSING,0.531933919
1709926.jpeg,MISSING,0.073273719,Røgbølle,0.035844195
1707439.jpeg,9/5-20.,0.559857533,Børstinge Mose,0.411030615
1709114.jpeg,27-9-58.,0.468660200,Eremitagen,0.679869657
1707238.jpeg,MISSING,0.909496817,MISSING,0.543519248
1706792.jpeg,27-8-1911 | 1855-,0.025744165,Asminderød,0.633528342
1743943.jpeg,d. 12 VIII 1972,0.165362231,Jæ.Dyrehave Sj.,0.106841467
1707707.jpeg,21/6 83,0.148132768,Esbjerg,0.165065171
1705522.jpeg,30.5.96,0.310327372,Tandskov,0.202791755
1707526.jpeg,1/6 86.,0.037032434,Harboør,0.321912701
1705413.jpeg,14.6.1898,0.705416793,Tisvilde,0.825428918
1706208.jpeg,17-6-1924,0.051885420,Dyrehaven,0.662937254
1705701.jpeg,MISSING,0.973661716,SS,0.989108821
1707036.jpeg,1/6 1930,0.048617763,Dyrehaven,0.763046378
1707563.jpeg,21-6-1956,0.547381025,V.F. Høvblege Møn,0.159123977
1743881.jpeg,Aug 1934,0.204871173,Tange v. Ribe,0.061688390
1744529.jpeg,MISSING,0.722943316,Falster,0.840876023
1705885.jpeg,24/8-1941,0.669472567,Hampen,0.654619582
1706145.jpeg,3/6.1870.,0.640657775,Rønne | Bo,0.367065778
1706116.jpeg,MISSING,0.954352834,MISSING,0.186156411
1705503.jpeg,MISSING,0.985247045,MISSING,0.573819339
1743977.jpeg,19.9.75.,0.331418612,MISSING,0.461233707
1708836.jpeg,MISSING,0.828399515,MISSING,0.503713246
1705606.jpeg,MISSING,0.978711731,MISSING,0.569660503
1709278.jpeg,MISSING,0.810575932,Kb,0.963561685
1708753.jpeg,MISSING,0.839687784,Veile Bøije. | Ve,0.026932404
1728594.jpeg,9.V.1992,0.383404062,Høstemark NEJ,0.319536223
1707390.jpeg,MISSING,0.891376175,Boserup,0.313892089
1708681.jpeg,1.11.33.,0.500445590,Ingemannsvej Frederiksberg,0.138923916
1742745.jpeg,MISSING,0.758590482,Dyrehaven,0.779384662
1707538.jpeg,MISSING,0.888999697,MISSING,0.536389815
1709045.jpeg,MISSING,0.816517126,MISSING,0.498663231
1705870.jpeg,27/6 1984,0.059014853,Skallingen,0.692049106
1707310.jpeg,4. 5. 1938,0.566689906,Vesterris,0.583028190
1728490.jpeg,1. 6. 14,0.136547439,Silkeby,0.064658988
1709456.jpeg,15. 10. 1928.,0.433013034,Estrup Skov,0.354292210
1706854.jpeg,27/6 71,0.029605941,MISSING,0.551242801
1742818.jpeg,29/5. 1917,0.154073962,Vester Ulslev - Kjeldskov,0.152588663
1706272.jpeg,6/7 15,0.034655956,MISSING,0.557481055
1709245.jpeg,16/4.1870,0.234874204,Dyrehaven,0.787702334
1706077.jpeg,4. 5. 1938.,0.643331313,Vesterris,0.422318885
1707999.jpeg,MISSING,0.852461352,Danmark,0.859887845
1744646.jpeg,12.5-1957,0.322209761,Saltholm,0.808199454
1708955.jpeg,9/9.1872,0.147241588,Dyrehaven,0.789781752
1709778.jpeg,28.IX.1988,0.426180661,NEZ UB58 HARESKOV,0.101197333
1743753.jpeg,26/5 27,0.081888451,Gandløse Ore,0.129715065
1705644.jpeg,8.8.1936,0.686702031,Arnager,0.037626554
1709004.jpeg,16/4.1870,0.178135799,Dyrehaven,0.659669597
1708747.jpeg,MISSING,0.840876023,Ve,0.965938163
1705744.jpeg,28-6-53,0.678978478,Vestr. Sømark,0.305574416
1709463.jpeg,26. 9. 1931,0.432121855,Virklund,0.626993028
1705812.jpeg,MISSING,0.966235223,Dyrehaven,0.408654138
1744706.jpeg,27. 3. 1978.,0.317456805,Myrthue,0.577384056
1708425.jpeg,8-9-1970 | 8-9-1970 | 8-9-1970,0.028714762,Løsø | Løsø | Løsø,0.023070627
1705790.jpeg,25.6.1913,0.673631403,Ermelunden,0.424398303
1707569.jpeg,21-6-1956,0.545895726,V.f. Høvblege Møn,0.281809639
1709804.jpeg,1.5.1949,0.227150652,Jonstrup Sjæll.,0.131200364
1705545.jpeg,13/6 1929 | 13/6 29,0.109217945,"Engene, Svb. Svendborg Amt | E",0.088126705
1707993.jpeg,8/5.1870,0.520942710,Dyrehaven,0.359639285
1744705.jpeg,7.5.1977,0.317753865,Svinø strand,0.443707184
1705746.jpeg,8-7-60,0.678681419,Vstr. Sømark,0.581245832
1708819.jpeg,MISSING,0.832855411,MISSING,0.507872082
1708470.jpeg,MISSING,0.847411337,MISSING,0.520051531
1710374.jpeg,23.7-44,0.221209457,DANMARK | Stasevang,0.300524401
1707913.jpeg,13.6.1913,0.526883904,Ermelunden,0.435983631
1708697.jpeg,MISSING,0.843549560,MISSING,0.516486814
1743820.jpeg,16.6.1929,0.207247651,Lellinge skov,0.463313125
1744652.jpeg,11.5-1913,0.087235526,Avedøre,0.616298878
1710395.jpeg,7-5.1911,0.219724159,Dyreh.,0.341815702
1705861.jpeg,8.1900,0.083967869,Gelsskov,0.324289179
1705592.jpeg,2/6-19.,0.691752046,Hammeren,0.824834798
1705450.jpeg,29/5.1870,0.183185814,Dyrehaven,0.776711125
1709908.jpeg,MISSING,0.778493483,MISSING,0.481730828
1743035.jpeg,27.IV.2022,0.370333434,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.223585935
1705919.jpeg,24-7-61.,0.665313731,Jydelejet. Møn.,0.289830252
1708774.jpeg,94.9.,0.012376478,MISSING,0.511436799
1709899.jpeg,MISSING,0.780275841,Kb,0.980494089
1707475.jpeg,8-6-1914,0.554213398,Vamdrup,0.862561382
1709749.jpeg,MISSING,0.785325856,MISSING,0.484998484
1705672.jpeg,MISSING,0.976038193,Veilø Bugt,0.116050318
1707935.jpeg,15.10.21,0.523319188,Dyrehaven,0.745816914
1706778.jpeg,19-7-1908 | 1835,0.024852986,Rungsted,0.707199151
1709037.jpeg,9/9 72,0.240518339,Dyrh,0.831370112
1744586.jpeg,MISSING,0.713437405,MISSING,0.459451349
1709203.jpeg,22.9.1996,0.461827827,Dyrehaven,0.733637466
1706222.jpeg,12-6-43,0.636498939,Sandbjerg,0.767205214
1743595.jpeg,19.4.89,0.092879661,Odense,0.896723249
1705481.jpeg,7/1865.,0.699475599,Dyrehaven | Kb,0.304386178
1706148.jpeg,MISSING,0.948114580,Kb,0.987029403
1705656.jpeg,15.7.37.,0.684622613,Sose,0.835231888
1706464.jpeg,5/1871.,0.037626554,Jydske Aas Vendsyssel,0.125853289
1709188.jpeg,29-8-1952,0.464501364,Dyrehaven,0.736311003
1709562.jpeg,V. 00.,0.094959079,Saaby.,0.015644135
1707248.jpeg,MISSING,0.907120339,Dyrehaven,0.795128827
1709940.jpeg,9/9. 1901,0.222694756,Kjeldskov Vester Ulslev,0.086641406
1744692.jpeg,lo-5-1956,0.034061837,Kongelunden,0.379542286
1707943.jpeg,6/1870,0.141894513,Dyrehaven,0.745222795
1709892.jpeg,MISSING,0.781761140,Kb,0.981088209
1743578.jpeg,MISSING,0.733934526,Sielland,0.826914216
1705996.jpeg,23.7.44,0.656104880,Stasevang | DANMARK,0.301415580
1705424.jpeg,29.7.1928.,0.703931494,rg. Østenfjeld,0.126744468
1707805.jpeg,6/1862.,0.125556229,Ti | Kulhuset Jægerspris,0.218832980
1705436.jpeg,27.5.22,0.144568051,Søllerød,0.593128221
1728475.jpeg,MISSING,0.769284632,MISSING,0.477869051
1707282.jpeg,17.6.1924,0.570254623,Slotved Skov,0.614219460
1707953.jpeg,6/1870,0.102979691,Dyrehaven,0.792752349
1708824.jpeg,MISSING,0.831370112,MISSING,0.506386784
1742785.jpeg,MISSING,0.750866929,MISSING,0.473413156
1705942.jpeg,23-6-1961,0.661451955,Hjarbæk,0.629072446
1705860.jpeg,MISSING,0.960294028,MISSING,0.563719309
1742994.jpeg,13-7-1951,0.377462868,Dragstrup,0.716705062
1706220.jpeg,17-6-1922,0.636795999,Dyrehaven,0.767799333
1743995.jpeg,26-7-1951,0.327853895,Nivå,0.928508639
1708704.jpeg,MISSING,0.842361322,MISSING,0.515001516
1706889.jpeg,20.VII.2021,0.596098818,"DENMARK: NWJ, Hjelm Hede (west), 56.48N, 8.89E, 16 m",0.236062443
1706876.jpeg,26-7-1951,0.598178236,Nivå,0.935043953
1709100.jpeg,Sptbr 1936,0.095850258,Saltholm,0.827508336
1707998.jpeg,MISSING,0.852758412,MISSING,0.181997575
1705428.jpeg,8.9.1883,0.703040315,Husum,0.777602304
1709206.jpeg,10-9-1972,0.460936647,VESTER MØLLE,0.344489239
1728534.jpeg,12-9-61.,0.388751137,Eremitagen,0.674225523
1709216.jpeg,28.9.1913,0.177244620,Dyrehaven,0.586295847
1708873.jpeg,26-10-1972,0.485295544,Marselisborg Dyreh,0.243785996
1706503.jpeg,MISSING,0.929102758,Tiis-Sø,0.434201273
1743737.jpeg,31-7-94,0.209624129,Fugelmosen,0.021585329
1743851.jpeg,10-5-63,0.345380418,Faxe,0.932073356
1744531.jpeg,3/6.1870.,0.323992119,Bo | Stranden ved Byå Rønne,0.105950288
1708379.jpeg,5-4-50.,0.512922098,Sønderskov. Høvelte,0.272897848
1744587.jpeg,Juni 1830.,0.323695059,Sielland,0.826617157
1709154.jpeg,17/9 75,0.036735374,MISSING,0.496583813
1709516.jpeg,MISSING,0.795128827,Kb,0.958511670
1709282.jpeg,MISSING,0.809981813,Kb,0.963264626
1706193.jpeg,7/6 1937 | 7/6 37,0.116941497,Ærø Svendborg Amt,0.077729615
1706063.jpeg,5.6.22,0.645113671,Dyrehaven,0.280918460
1708456.jpeg,14.9.09,0.250024250,Skagen,0.703337375
1709743.jpeg,12/7 86 | 11/4 91,0.064064868,MISSING,0.012970597
1706015.jpeg,13.6.1950,0.160312216,Langå Jyll.,0.046538345
1709762.jpeg,12-4-1952,0.428557139,Haveskov,0.076541376
1705936.jpeg,11.5.49.,0.299039103,Herlev,0.907120339
1709875.jpeg,12/7.1870,0.223882995,Ørholm,0.416971810
1708785.jpeg,MISSING,0.834637769,MISSING,0.509654441
1708985.jpeg,MISSING,0.823646560,MISSING,0.180512276
1708922.jpeg,10.10.1884,0.476977872,Erlev,0.741361018
1705492.jpeg,29/5. 1870,0.310921491,Dyrehaven,0.776414065
1742771.jpeg,MISSING,0.753243407,Kb,0.950491058
1742738.jpeg,MISSING,0.760372840,Dyrehaven,0.717893301
1743872.jpeg,16-4-49,0.341518642,Lillerød,0.425883601
1706173.jpeg,20/6 75,0.294286147,Jydske Ås,0.078917854
1708832.jpeg,MISSING,0.829587754,MISSING,0.504901485
1709088.jpeg,12-9-1914,0.470145499,Vamdrup,0.802258260
1710390.jpeg,7-5-1911,0.220318278,Dyreh,0.061391331
1709962.jpeg,12/7 1939. | 12/7 39,0.091691422,Ærø Svendborg Amt,0.079511973
1708860.jpeg,26.10.72,0.245271294,Marselisb. Sk.,0.340924523
1707002.jpeg,MISSING,0.917220370,MISSING,0.547975144
1709981.jpeg,26-7-1968,0.221803577,kragnos F 18,0.089909063
1742789.jpeg,MISSING,0.750272810,Lolland,0.847411337
1705956.jpeg,16.6.1929,0.659966657,Wellinge skov,0.330527433
1708722.jpeg,20.10.1946,0.496583813,Salten,0.422913004
1706473.jpeg,MISSING,0.933855714,Al,0.839093665
1706887.jpeg,20.VII.2021,0.596692937,"DENMARK: NWJ, Hjelm Hede (east), 56.48N, 8.91E, 20 m",0.140112155
1707564.jpeg,21-6-1956,0.547083965,V.F. Høvblege Møn,0.158826917
1744549.jpeg,MISSING,0.720566838,Kb,0.946926341
1707442.jpeg,3/7 1898,0.559560473,Kulhuse,0.612734162
1744475.jpeg,MISSING,0.725913913,Øbjerggård,0.647490149
1708841.jpeg,19.1.1990,0.490048500,Høgdal v. Them,0.283889057
1707828.jpeg,MISSING,0.865829039,SS | Øbjerggård Næstved,0.155262201
1707826.jpeg,MISSING,0.866126099,SS | Øbjerggård Næstved,0.150212186
1743019.jpeg,27.IV.2022,0.372115793,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.223882995
1728448.jpeg,3/6.1870,0.052182480,Bo | ved Byen Rønne,0.065550167
1706111.jpeg,7/6.1870,0.159718096,Rø Bornholm,0.615704759
1709904.jpeg,MISSING,0.779681722,MISSING,0.177838739
1707832.jpeg,6/62,0.103573810,Kulhuset Jægerspris,0.131497423
1707944.jpeg,6/1870,0.258638982,Dyrehaven,0.744925735
1743917.jpeg,13-7-1963,0.335577448,Nødebohuse Halsnæs,0.284483177
1709806.jpeg,26.9. 1948,0.422021825,Dyrehaven Själl.,0.254777205
1707645.jpeg,MISSING,0.883949682,Møen,0.446677781
1728582.jpeg,10.6.1979,0.385483480,Østrig,0.898505608
1705681.jpeg,3/6.1870,0.151103365,Rønne,0.927617460
1705622.jpeg,14-5-1954,0.689969688,Kulhuse,0.803743559
1706823.jpeg,24.3.1970,0.606495908,Østjylland Klattrup syd f. Vejle,0.249727190
1728460.jpeg,MISSING,0.772255229,Kb,0.952867536
1743573.jpeg,MISSING,0.734825705,SS,0.979305850
1706141.jpeg,MISSING,0.949896938,Bo,0.919596848
1707287.jpeg,22.5.1915,0.569363443,Tg. Ry Nørreskov,0.049508942
1706863.jpeg,19-8-1962,0.600554714,"NØ, KONGELUNDEN 46",0.059014853
1708911.jpeg,5.9.1918,0.478463171,Tg. Bøller,0.024852986
1709416.jpeg,27.IV.2022,0.438360109,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.173085784
1708674.jpeg,13/10-18,0.501039709,Rude Hegn,0.669175508
1744622.jpeg,23/7.1906,0.015347075,Handermølle Strand,0.099712034
1709041.jpeg,9/9.72,0.239924219,Dyrh,0.807605335
1709770.jpeg,20-5-1956,0.228635950,JægersprisNord skov,0.076244316
1708996.jpeg,MISSING,0.821270082,MISSING,0.501336769
1707930.jpeg,13.5.1938,0.523913307,Aasø,0.832261291
1743952.jpeg,8-9-1970,0.331715671,Læsø,0.053667778
1707893.jpeg,24-III-1975,0.530745681,Tykskov krat,0.600554714
1706331.jpeg,MISSING,0.942470446,MISSING,0.555995756
1709411.jpeg,27.IV.2022,0.439845408,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.229824189
1707242.jpeg,MISSING,0.908605638,MISSING,0.542628069
1743792.jpeg,11/9 1935 | 11/9 35,0.071788421,Thurø Svendborg Amt | Tø,0.128823886
1743848.jpeg,16/9.1940,0.346271597,St. Annae Plads,0.067926644
1707502.jpeg,23-6-1961,0.553025159,Hjarbæk,0.454698393
1706041.jpeg,20.5.34,0.296365565,Reersø,0.914249773
1705510.jpeg,MISSING,0.983761746,Lolland,0.879790846
1709084.jpeg,11-9-1910,0.080403152,Dyrehaven,0.738984541
1743018.jpeg,19.V.2022,0.372412852,"Denmark: Samsø: EJ: Følsdal Bakke, 55.9922N, 10.5515E, h30m",0.193879964
1709820.jpeg,18.7.1926,0.226853592,Thorsager,0.693534404
1708449.jpeg,22/6 87 | 6/5 88,0.065253107,Harb | Harb,0.116347378
1743727.jpeg,5-6-18,0.209921188,Lasaa. Bornh.,0.096147317
1709046.jpeg,MISSING,0.816220067,MISSING,0.498366172
1710333.jpeg,23-6-1961,0.408357078,"MidtJylland Galgehøj, Hjarbæk",0.227150652
1708677.jpeg,1/5.1942,0.249430130,Ø.Assels Mors,0.093176720
1705584.jpeg,13. vi. 1978,0.692940285,"NWZ, PG 27 Røsnæs, Kongstrup",0.112782661
1709400.jpeg,27.IV.2022,0.443113065,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.231903607
1706280.jpeg,26-8-1956,0.629369506,Nekselø V.,0.690563807
1705663.jpeg,MISSING,0.977523492,Veilø Bugt,0.097038497
1743715.jpeg,27/5.1901,0.210515308,Vester Ulslev Haven,0.209624129
1707044.jpeg,5-6-1921,0.048320703,Dyrehaven,0.662046075
1705842.jpeg,MISSING,0.961482267,Lolland,0.874443771
1709854.jpeg,12.8.22,0.044458927,Thorsager,0.781464080
1742781.jpeg,MISSING,0.751758109,MISSING,0.175165202
1744635.jpeg,27/7-1933 | 27.7.33,0.026932404,Skallingen,0.699475599
1707574.jpeg,12.6.1999,0.545004547,Tolne Bakker,0.447271901
1706124.jpeg,MISSING,0.952867536,MISSING,0.559857533
1709149.jpeg,19/9 75,0.073867839,MISSING,0.497474992
1707997.jpeg,MISSING,0.853055471,MISSING,0.182294635
1706883.jpeg,7-19/7 1997,0.596989997,"B, Almindingen, Svinemose",0.147538648
1708945.jpeg,17/9.1870,0.059906032,Bornholm,0.606198848
1709240.jpeg,16/4.1870,0.075947257,Dyrehaven,0.429151258
1743990.jpeg,26-7-1961,0.059311913,Nivå,0.929696878
1708349.jpeg,6/6-1942,0.515892695,Bornholm,0.408060018
1728533.jpeg,28-5-61.,0.389048196,Eremitagen,0.674522583
1709137.jpeg,23.9.1978,0.056044256,DANMARK | RISØ ROSKILDE,0.146647469
