image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1709770.jpeg,20-5-1956,0.228635950,JægersprisNord skov,0.075056078
1708996.jpeg,MISSING,0.591048803,MISSING,0.603822370
1707930.jpeg,13.5.1938,0.677493180,Aasø,0.878008487
1743952.jpeg,8-9-1970,0.353995150,Læsø,0.053667778
1707893.jpeg,24-III-1975,0.684325553,Tykskov krat,0.451430737
1706331.jpeg,MISSING,0.860481964,MISSING,0.658481358
1709411.jpeg,27.IV.2022,0.538469233,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.196850561
1707242.jpeg,MISSING,0.778196423,MISSING,0.645113671
1743792.jpeg,11/9 1935 | 11/9 35,0.072085480,Thurø Svendborg Amt | Tø,0.127338587
1743848.jpeg,16/9.1940,0.368551076,St. Annae Plads,0.068223704
1707502.jpeg,23-6-1961,0.737202182,Hjarbæk,0.478463171
1706041.jpeg,20.5.34,0.296365565,Reersø,0.914249773
1705510.jpeg,MISSING,0.976632313,Lolland,0.872958472
1709084.jpeg,11-9-1910,0.083670809,Dyrehaven,0.727399212
1743018.jpeg,19.V.2022,0.412515914,"Denmark: Samsø: EJ: Følsdal Bakke, 55.9922N, 10.5515E, h30m",0.167144589
1709820.jpeg,18.7.1926,0.226853592,Thorsager,0.685216732
1708449.jpeg,22/6 87 | 6/5 88,0.065253107,Harb | Harb,0.117535617
1743727.jpeg,5-6-18,0.209921188,Lasaa. Bornh.,0.096444377
1709046.jpeg,MISSING,0.584513489,MISSING,0.600851773
1710333.jpeg,23-6-1961,0.477274932,"MidtJylland Galgehøj, Hjarbæk",0.194177023
1708677.jpeg,1/5.1942,0.249430130,Ø.Assels Mors,0.093473780
1705584.jpeg,13. vi. 1978,0.967423462,"NWZ, PG 27 Røsnæs, Kongstrup",0.112485602
1709400.jpeg,27.IV.2022,0.541736890,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.198929979
1706280.jpeg,26-8-1956,0.867017278,Nekselø V.,0.551539861
1705663.jpeg,MISSING,0.954946954,Veilø Bugt,0.097632616
1743715.jpeg,27/5.1901,0.210515308,Vester Ulslev Haven,0.212594726
1707044.jpeg,5-6-1921,0.048320703,Dyrehaven,0.557481055
1705842.jpeg,MISSING,0.928211579,Lolland,0.867611397
1709854.jpeg,12.8.22,0.044458927,Thorsager,0.774037587
1742781.jpeg,MISSING,0.427071840,MISSING,0.270521370
1744635.jpeg,27/7-1933 | 27.7.33,0.026932404,Skallingen,0.681057896
1707574.jpeg,12.6.1999,0.726805092,Tolne Bakker,0.419942407
1706124.jpeg,MISSING,0.888702637,MISSING,0.661749015
1709149.jpeg,19/9 75,0.073867839,MISSING,0.600257654
1707997.jpeg,MISSING,0.668284329,MISSING,0.277353744
1706883.jpeg,7-19/7 1997,0.818596544,"B, Almindingen, Svinemose",0.143082752
1708945.jpeg,17/9.1870,0.059906032,Bornholm,0.487374962
1709240.jpeg,16/4.1870,0.075947257,Dyrehaven,0.426477721
1743990.jpeg,26-7-1961,0.059311913,Nivå,0.929696878
1708349.jpeg,6/6-1942,0.660263716,Bornholm,0.416377690
1728533.jpeg,28-5-61.,0.449945438,Eremitagen,0.535498636
1709137.jpeg,23.9.1978,0.056044256,DANMARK | RISØ ROSKILDE,0.142191573
